id	call
ENSMUSG00000009569	present
ENSMUSG00000009575	present
ENSMUSG00000009614	present
ENSMUSG00000009621	present
ENSMUSG00000009630	present
ENSMUSG00000009633	present
ENSMUSG00000009640	present
ENSMUSG00000009646	present
ENSMUSG00000009647	present
ENSMUSG00000009654	present
ENSMUSG00000009681	present
ENSMUSG00000009687	present
ENSMUSG00000009733	present
ENSMUSG00000009741	present
ENSMUSG00000009772	present
ENSMUSG00000009863	present
ENSMUSG00000009894	present
ENSMUSG00000009905	present
ENSMUSG00000009907	present
ENSMUSG00000009927	present
ENSMUSG00000009995	present
ENSMUSG00000010025	present
ENSMUSG00000010045	present
ENSMUSG00000010047	present
ENSMUSG00000010048	present
ENSMUSG00000010051	present
ENSMUSG00000010054	present
ENSMUSG00000010057	present
ENSMUSG00000010064	present
ENSMUSG00000010067	present
ENSMUSG00000010095	present
ENSMUSG00000010097	present
ENSMUSG00000010110	present
ENSMUSG00000010122	present
ENSMUSG00000010175	present
ENSMUSG00000010205	present
ENSMUSG00000010277	present
ENSMUSG00000010290	present
ENSMUSG00000010307	present
ENSMUSG00000010358	present
ENSMUSG00000010362	present
ENSMUSG00000010376	present
ENSMUSG00000010392	present
ENSMUSG00000010406	present
ENSMUSG00000010453	present
ENSMUSG00000010517	present
ENSMUSG00000010554	present
ENSMUSG00000010601	present
ENSMUSG00000010607	present
ENSMUSG00000010608	present
ENSMUSG00000010609	present
ENSMUSG00000010651	present
ENSMUSG00000010663	present
ENSMUSG00000010755	present
ENSMUSG00000010911	present
ENSMUSG00000010914	present
ENSMUSG00000010936	present
ENSMUSG00000011096	present
ENSMUSG00000011114	present
ENSMUSG00000011148	present
ENSMUSG00000011158	present
ENSMUSG00000011179	present
ENSMUSG00000011257	present
ENSMUSG00000011263	present
ENSMUSG00000011305	present
ENSMUSG00000011306	present
ENSMUSG00000011382	present
ENSMUSG00000011658	present
ENSMUSG00000011752	present
ENSMUSG00000011831	present
ENSMUSG00000011837	present
ENSMUSG00000011884	present
ENSMUSG00000011958	present
ENSMUSG00000011960	present
ENSMUSG00000012076	present
ENSMUSG00000012114	present
ENSMUSG00000012117	present
ENSMUSG00000012405	present
ENSMUSG00000012422	present
ENSMUSG00000012428	present
ENSMUSG00000012429	present
ENSMUSG00000012483	present
ENSMUSG00000012519	present
ENSMUSG00000012535	present
ENSMUSG00000012848	present
ENSMUSG00000013089	present
ENSMUSG00000013160	present
ENSMUSG00000013465	present
ENSMUSG00000013495	present
ENSMUSG00000013593	present
ENSMUSG00000013622	present
ENSMUSG00000013629	present
ENSMUSG00000013662	present
ENSMUSG00000013663	present
ENSMUSG00000013698	present
ENSMUSG00000013701	present
ENSMUSG00000013736	present
ENSMUSG00000013787	present
ENSMUSG00000013822	present
ENSMUSG00000013833	present
ENSMUSG00000013846	present
ENSMUSG00000013858	present
ENSMUSG00000013878	present
ENSMUSG00000013973	present
ENSMUSG00000013997	present
ENSMUSG00000014074	present
ENSMUSG00000014077	present
ENSMUSG00000014164	present
ENSMUSG00000014177	present
ENSMUSG00000014195	present
ENSMUSG00000014226	present
ENSMUSG00000014232	present
ENSMUSG00000014243	present
ENSMUSG00000014294	present
ENSMUSG00000014301	present
ENSMUSG00000014313	present
ENSMUSG00000014349	present
ENSMUSG00000014353	present
ENSMUSG00000014355	present
ENSMUSG00000014361	present
ENSMUSG00000014402	present
ENSMUSG00000014418	present
ENSMUSG00000014426	present
ENSMUSG00000014496	present
ENSMUSG00000014498	present
ENSMUSG00000014504	present
