id	minimum_pValue	call
FBgn0002069	6.88317803089344e-06	present
FBgn0002121	6.91467320772284e-05	present
FBgn0002174	5.6601609656398e-12	present
FBgn0002183	6.29077838628966e-08	present
FBgn0002283	6.0246324025812e-07	present
FBgn0002284	5.15195920575194e-11	present
FBgn0002306	0.000460693010178484	present
FBgn0002354	1.44067541728579e-06	present
FBgn0002413	2.90298049781721e-07	present
FBgn0002431	1.55269864293384e-06	present
FBgn0002440	0.152264331345689	absent
FBgn0002441	3.048863658193e-05	present
FBgn0002466	0.00024073801156232	present
FBgn0002521	1.39015399191761e-07	present
FBgn0002522	0.00559264581617472	present
FBgn0002524	0.000251282797821943	present
FBgn0002525	3.54978032788683e-10	present
FBgn0002526	0.00492768580501383	present
FBgn0002531	0.60320938193356	absent
FBgn0002533	0.0294597774110991	absent
FBgn0002534	0.0927803904512703	absent
FBgn0002535	0.0113003453103261	absent
FBgn0002542	2.5898819340234e-06	present
FBgn0002543	0.112211043905957	absent
FBgn0002552	4.21207139781258e-06	present
FBgn0002561	0.419159433274796	absent
FBgn0002562	7.50010845022528e-05	present
FBgn0002563	3.71447005926637e-05	present
FBgn0002564	1.37038129405892e-06	present
FBgn0002565	2.19072539418889e-05	present
FBgn0002566	3.95574080791882e-06	present
FBgn0002567	9.56195939211422e-07	present
FBgn0002569	0.000731909039995122	present
FBgn0002570	7.13456460901176e-08	present
FBgn0002571	0.000111211089418552	present
FBgn0002573	0.00703003974273642	present
FBgn0002576	0.444030319113455	absent
FBgn0002577	0.217271539121285	absent
FBgn0002578	0.00261942925554914	present
FBgn0002579	6.89825976957072e-17	present
FBgn0002590	7.43142135766434e-12	present
FBgn0002592	0.295535670229309	absent
FBgn0002593	1.19013056279215e-14	present
FBgn0002609	0.0783278690561696	absent
FBgn0002622	7.40661152293272e-16	present
FBgn0002626	7.88192206397496e-13	present
FBgn0002629	0.290425835570264	absent
FBgn0002631	NA	absent
FBgn0002632	NA	absent
FBgn0002633	0.433529784813732	absent
FBgn0002638	4.1530853695265e-09	present
FBgn0002641	0.00667990665891898	present
FBgn0002643	7.71513304432284e-10	present
FBgn0002645	4.61474075408024e-07	present
FBgn0002673	1.32317245387221e-08	present
FBgn0002707	0.013983254005012	absent
FBgn0002709	7.91907495331008e-09	present
FBgn0002715	1.03157586091883e-09	present
FBgn0002716	0.0259347872423985	absent
FBgn0002719	6.23638288477008e-11	present
FBgn0002723	0.00911925588271392	present
FBgn0002732	0.00166320442611129	present
FBgn0002733	0.14201688939326	absent
FBgn0002734	0.182019149819335	absent
FBgn0002735	0.352090092805532	absent
FBgn0002736	7.81728108767694e-07	present
FBgn0002772	3.1100469914286e-06	present
FBgn0002773	9.65885140895412e-07	present
FBgn0002774	7.83460033596594e-06	present
FBgn0002775	6.23908652022414e-06	present
FBgn0002778	0.0143061393420406	absent
FBgn0002780	4.51200808717206e-07	present
FBgn0002781	6.1855004258064e-10	present
FBgn0002783	9.14811057638568e-07	present
FBgn0002787	4.55375669186101e-14	present
FBgn0002789	1.13727494042521e-07	present
FBgn0002791	1.11300816598464e-06	present
FBgn0002838	1.20281584200211e-06	present
FBgn0002842	3.46861730903782e-08	present
FBgn0002855	9.80840671690088e-10	present
FBgn0002856	2.88223276033306e-10	present
FBgn0002862	1.52007645337989e-20	present
FBgn0002863	2.74838791532146e-18	present
FBgn0002865	5.56316441117822e-16	present
FBgn0002868	8.14749446659692e-24	present
FBgn0002869	3.38872268874444e-07	present
FBgn0002872	6.99101426594013e-05	present
FBgn0002873	7.18409502933526e-08	present
FBgn0002878	0.000833999954444604	present
FBgn0002887	0.000148291595233985	present
FBgn0002891	0.00239078063540077	present
FBgn0002899	0.00139990419798035	present
FBgn0002901	6.39782742075375e-05	present
FBgn0002905	0.000964392854254272	present
FBgn0002906	3.89640000386128e-06	present
FBgn0002909	5.03278574152764e-05	present
FBgn0002914	2.26669491746777e-10	present
FBgn0002917	0.0443919542364462	absent
FBgn0002921	1.7257446978366e-09	present
FBgn0002922	0.498835251031559	absent
FBgn0002924	4.4211038719774e-08	present
FBgn0002926	0.269545034624171	absent
FBgn0002930	3.80164231828055e-06	present
FBgn0002931	1.14694472423786e-05	present
FBgn0002932	0.000167671739960082	present
FBgn0002933	NA	absent
FBgn0002936	0.00748516673780516	present
FBgn0002937	0.378049566657367	absent
FBgn0002938	0.0773930171721717	absent
FBgn0002939	0.000313973407091852	present
FBgn0002940	1.87864332292004e-08	present
FBgn0002941	NA	absent
FBgn0002945	0.153106193238982	absent
FBgn0002948	0.0487433237601073	absent
FBgn0002962	0.00175533523840307	present
FBgn0002973	2.15573725610288e-06	present
FBgn0002985	0.0537908446383927	absent
FBgn0002989	0.0008842165703106	present
FBgn0003002	0.752308432624415	absent
FBgn0003008	1.63888495592805e-06	present
FBgn0003009	3.44528172981642e-06	present
FBgn0003011	0.0746535355714356	absent
FBgn0003015	0.0211210039213242	absent
FBgn0003016	0.000173545711638445	present
FBgn0003023	0.00954191497225018	present
FBgn0003028	0.219869566912635	absent
FBgn0003034	8.02936898681464e-17	present
FBgn0003041	0.00238815449611124	present
FBgn0003042	0.000667511692422858	present
FBgn0003044	1.43978228063265e-05	present
FBgn0003046	8.3942308185366e-05	present
FBgn0003048	0.000337100881956729	present
FBgn0003053	3.36270477417002e-05	present
FBgn0003057	NA	absent
FBgn0003060	0.0033382267806041	present
FBgn0003062	4.70770843785881e-07	present
FBgn0003065	0.000504978368058415	present
FBgn0003067	0.000114718348225897	present
FBgn0003068	0.0077107537643136	present
FBgn0003071	9.64179242777448e-11	present
FBgn0003074	3.21905482778138e-12	present
FBgn0003076	1.60967139012471e-06	present
FBgn0003079	0.000845388783035508	present
FBgn0003082	0.000365654819384768	present
FBgn0003086	0.0110273801294605	absent
FBgn0003087	3.5622096547548e-08	present
FBgn0003089	0.00933577674235182	present
FBgn0003090	0.0767874738132126	absent
FBgn0003091	0.0345474349934348	absent
FBgn0003093	0.00561275346249592	present
FBgn0003114	0.00420124391669846	present
FBgn0003116	8.82536585553483e-05	present
FBgn0003117	0.586175101973469	absent
FBgn0003118	0.130459271639596	absent
FBgn0003124	3.2424567352211e-09	present
FBgn0003129	0.0328396822244498	absent
FBgn0003130	0.476223393619731	absent
FBgn0003132	2.53999765786522e-09	present
FBgn0003134	2.12665621049202e-07	present
FBgn0003137	0.0122368463522073	absent
FBgn0003139	1.22824057838212e-05	present
FBgn0003140	3.23999240772483e-08	present
FBgn0003141	2.73096218797831e-06	present
FBgn0003145	1.64737874260474e-05	present
FBgn0003149	3.12620016745054e-07	present
FBgn0003159	1.52064047096902e-09	present
FBgn0003162	0.00223263446552805	present
FBgn0003165	0.00207249601212264	present
FBgn0003169	0.000250854011096316	present
FBgn0003174	0.00655639814422308	present
FBgn0003175	6.34646359376502e-05	present
FBgn0003187	3.33844989390006e-09	present
FBgn0003189	4.03381474489513e-05	present
FBgn0003204	0.00189766751575725	present
FBgn0003205	2.10125428076984e-06	present
FBgn0003206	3.96980301777463e-07	present
FBgn0003209	0.000210327769056096	present
FBgn0003210	7.3795905607143e-05	present
FBgn0003218	5.75916121525871e-10	present
FBgn0003227	0.0179639889084558	absent
FBgn0003231	3.44657113661423e-10	present
FBgn0003248	0.117555522539612	absent
FBgn0003249	0.0395031869179066	absent
FBgn0003250	4.06263529062254e-06	present
FBgn0003254	1.77775796172059e-06	present
FBgn0003255	0.416426827445562	absent
FBgn0003256	5.29681300831888e-06	present
FBgn0003257	0.00286117830402422	present
FBgn0003261	1.50940484040962e-08	present
FBgn0003267	0.0517833458558886	absent
FBgn0003268	0.00145271780124376	present
FBgn0003270	NA	absent
FBgn0003274	3.36591628119646e-13	present
FBgn0003275	6.00739574217222e-17	present
FBgn0003277	0.000132684895444256	present
FBgn0003278	0.00665160228972496	present
FBgn0003279	1.31978952516362e-10	present
FBgn0003285	0.580215822659711	absent
FBgn0003292	0.135103768828951	absent
FBgn0003295	0.24628425272633	absent
FBgn0003300	0.660312334229656	absent
FBgn0003301	0.00244403022763267	present
FBgn0003302	2.56667467066319e-09	present
FBgn0003308	0.00926483590552191	present
FBgn0003310	1.05491094445377e-07	present
FBgn0003312	0.030836512104773	absent
FBgn0003313	0.054730183765014	absent
FBgn0003317	1.61954644195558e-06	present
FBgn0003319	0.738992389249051	absent
FBgn0003321	1.14085191397752e-07	present
FBgn0003326	0.600717410446227	absent
FBgn0003330	6.48203656349646e-05	present
FBgn0003334	8.52173145015054e-06	present
FBgn0003339	0.615169193448338	absent
FBgn0003345	4.52057717537771e-06	present
FBgn0003346	2.89770197527517e-10	present
FBgn0003353	0.00117263439000961	present
FBgn0003356	1.68633548790339e-12	present
FBgn0003357	2.67123374441625e-12	present
FBgn0003358	1.18330323531564e-07	present
FBgn0003360	2.13361929738872e-10	present
FBgn0003366	0.00295494246580936	present
FBgn0003371	8.75527542550434e-08	present
FBgn0003372	0.51575749852699	absent
FBgn0003373	0.000229012505755414	present
FBgn0003374	0.000173163952067852	present
FBgn0003375	5.29424149872918e-07	present
FBgn0003377	1.01447119842344e-07	present
FBgn0003378	2.6410335466559e-05	present
FBgn0003380	0.0959505142828318	absent
FBgn0003382	0.111415942580794	absent
FBgn0003386	0.000610967977382697	present
FBgn0003388	0.000355778770530189	present
FBgn0003390	0.000348231708629804	present
FBgn0003391	1.37440102893379e-05	present
FBgn0003392	3.68432853965235e-08	present
FBgn0003396	0.000338879245699752	present
FBgn0003401	0.00122544345650541	present
FBgn0003410	1.48681299225799e-09	present
FBgn0003411	0.445958330506052	absent
FBgn0003415	0.000307360723230718	present
FBgn0003416	0.00906680124257925	present
FBgn0003423	9.16130588367366e-08	present
FBgn0003429	0.124426901037669	absent
FBgn0003430	0.106312210123959	absent
FBgn0003435	2.13675548268512e-16	present
FBgn0003444	0.00282809409230662	present
FBgn0003447	6.41423271060456e-05	present
FBgn0003448	NA	absent
FBgn0003449	1.51458432354989e-11	present
FBgn0003450	0.0226487958777778	absent
FBgn0003459	0.000108779890859496	present
FBgn0003460	0.000923418817015384	present
FBgn0003462	1.32862081294921e-09	present
FBgn0003463	0.0020365401490086	present
FBgn0003464	0.000107292491823392	present
FBgn0003475	1.88908348076774e-13	present
FBgn0003479	0.000133077015892269	present
FBgn0003480	0.0151510970386819	absent
FBgn0003482	0.0242015538389107	absent
FBgn0003483	0.000170239156390746	present
FBgn0003486	0.340182945839157	absent
FBgn0003495	0.00153905898688286	present
FBgn0003499	0.439591234736107	absent
FBgn0003502	0.000317075146881057	present
FBgn0003507	3.72008559117902e-06	present
FBgn0003510	0.0330538681009757	absent
FBgn0003511	8.57079921670992e-06	present
FBgn0003512	2.86008330378493e-07	present
FBgn0003513	0.440424349539895	absent
FBgn0003514	5.66714372040677e-13	present
FBgn0003515	0.00548913785170214	present
FBgn0003517	4.96734723845989e-13	present
FBgn0003520	0.000133904950103498	present
FBgn0003525	0.0431333094678747	absent
FBgn0003527	3.70676590203706e-07	present
FBgn0003545	1.27541981846021e-07	present
FBgn0003557	1.78228362460555e-05	present
FBgn0003559	0.00102121647649558	present
FBgn0003567	8.77599341926482e-07	present
FBgn0003575	1.08100245173076e-05	present
FBgn0003598	1.38642004979663e-05	present
FBgn0003607	1.87661654270723e-11	present
FBgn0003612	4.62268449262912e-10	present
FBgn0003638	4.27315437846621e-08	present
FBgn0003651	0.00170015773396084	present
FBgn0003654	1.50370283474306e-10	present
FBgn0003655	0.0228417497644615	absent
FBgn0003656	2.28032769562583e-11	present
FBgn0003660	2.00915669472479e-11	present
FBgn0003676	3.35130743020218e-07	present
FBgn0003683	NA	absent
FBgn0003687	0.00659191602984819	present
FBgn0003701	9.29383633429626e-05	present
FBgn0003710	7.2516181923336e-06	present
FBgn0003714	9.2642812011957e-08	present
FBgn0003716	0.000273903090483641	present
FBgn0003719	0.379064734278656	absent
FBgn0003720	0.493665393471628	absent
FBgn0003721	2.05105999083975e-10	present
FBgn0003731	0.0172330465822232	absent
FBgn0003733	0.0731616426805424	absent
FBgn0003741	0.000670180800919496	present
FBgn0003742	1.09791266456792e-11	present
FBgn0003744	7.68087549117768e-07	present
FBgn0003747	0.132353773528329	absent
FBgn0003748	5.89435724906474e-11	present
FBgn0003751	0.074518411870401	absent
FBgn0003861	0.018988537940185	absent
FBgn0003862	0.00254883432348428	present
FBgn0003863	2.39014787552767e-08	present
FBgn0003865	NA	absent
FBgn0003866	0.01473107490174	absent
FBgn0003867	0.026704398784762	absent
FBgn0003870	5.92712033203357e-06	present
FBgn0003882	0.000152635758978485	present
FBgn0003884	2.46647806403716e-19	present
FBgn0003885	9.7721179780977e-14	present
FBgn0003886	2.81795799482016e-10	present
FBgn0003888	1.51157044853312e-11	present
FBgn0003889	7.45628839278234e-19	present
FBgn0003890	0.000476903362491729	present
FBgn0003891	8.92981299454209e-06	present
FBgn0003892	0.0304569076539612	absent
FBgn0003896	0.0318468902617738	absent
FBgn0003900	4.60400043595168e-07	present
FBgn0003916	3.38984157639837e-21	present
FBgn0003920	4.99807074494268e-20	present
FBgn0003922	4.19002446645516e-23	present
FBgn0003923	7.16458103955712e-09	present
FBgn0003926	0.00118096170864401	present
FBgn0003930	5.97836097467936e-21	present
FBgn0003931	2.87528713925255e-18	present
FBgn0003933	2.2908980269567e-13	present
FBgn0003934	6.04300015663162e-15	present
FBgn0003935	6.50326714367808e-11	present
FBgn0003936	4.84030073077932e-09	present
FBgn0003938	6.20851673715736e-14	present
FBgn0003941	1.0509753645977e-15	present
FBgn0003942	9.60836102062578e-15	present
FBgn0003943	2.8266425366427e-21	present
FBgn0003944	0.123954147547867	absent
FBgn0003950	0.000434398614476662	present
FBgn0003961	5.31396745661416e-06	present
FBgn0003963	0.0144385477927248	absent
FBgn0003964	5.80841625644222e-05	present
