JH602043.1_72210344_72211922 JH602043.1- 72210344-72211922	59.21
JH602043.1_72276323_72279053 JH602043.1+ 72276323-72279053	39.40
JH602043.1_72355073_72362879 JH602043.1+ 72355073-72362879	47.59
JH602043.1_72363747_72365367 JH602043.1- 72363747-72365367	42.63
JH602043.1_72365468_72375072 JH602043.1+ 72365468-72375072	48.33
JH602043.1_72384578_72386343 JH602043.1+ 72384578-72386343	44.90
JH602043.1_72393779_72395842 JH602043.1- 72393779-72395842	57.07
JH602043.1_72413677_72417356 JH602043.1- 72413677-72417356	43.04
JH602043.1_72428594_72434505 JH602043.1+ 72428594-72434505	45.38
JH602043.1_72691063_72692718 JH602043.1+ 72691063-72692718	57.73
JH602043.1_72794742_72804528 JH602043.1+ 72794742-72804528	42.15
JH602043.1_72983393_72985475 JH602043.1+ 72983393-72985475	48.92
JH602043.1_72985576_72987072 JH602043.1+ 72985576-72987072	58.38
JH602043.1_72988993_72993116 JH602043.1- 72988993-72993116	41.54
JH602043.1_72996731_73003470 JH602043.1- 72996731-73003470	39.07
JH602043.1_73249038_73263756 JH602043.1+ 73249038-73263756	42.73
JH602043.1_73300831_73302607 JH602043.1+ 73300831-73302607	41.36
JH602043.1_73302808_73313164 JH602043.1+ 73302808-73313164	50.04
JH602043.1_73598296_73604553 JH602043.1- 73598296-73604553	39.73
JH602043.1_73624875_73642895 JH602043.1+ 73624875-73642895	45.04
JH602043.1_73654808_73655860 JH602043.1- 73654808-73655860	58.02
JH602043.1_73682500_73685863 JH602043.1- 73682500-73685863	49.44
JH602043.1_73685964_73696248 JH602043.1+ 73685964-73696248	46.28
JH602043.1_74355405_74370793 JH602043.1+ 74355405-74370793	51.25
JH602043.1_74390763_74404414 JH602043.1+ 74390763-74404414	60.09
JH602043.1_74453369_74457460 JH602043.1- 74453369-74457460	45.67
JH602043.1_74524356_74534853 JH602043.1- 74524356-74534853	53.15
JH602043.1_74592838_74603248 JH602043.1+ 74592838-74603248	48.01
JH602043.1_74659455_74667181 JH602043.1- 74659455-74667181	49.98
JH602043.1_75517231_75530269 JH602043.1- 75517231-75530269	54.66
JH602043.1_75600243_75620242 JH602043.1- 75600243-75620242	58.11
JH602043.1_75711579_75726681 JH602043.1+ 75711579-75726681	44.18
JH602043.1_75734342_75751659 JH602043.1+ 75734342-75751659	44.49
JH602043.1_75760561_75764351 JH602043.1+ 75760561-75764351	42.02
JH602043.1_75765610_75767280 JH602043.1- 75765610-75767280	37.22
