1_16050767_16056706 1+ 16050767-16056706	48.89
1_16066619_16086618 1+ 16066619-16086618	41.38
1_16100995_16112314 1- 16100995-16112314	50.17
1_16120175_16138995 1+ 16120175-16138995	49.00
1_16268125_16273164 1- 16268125-16273164	40.75
1_16382365_16400484 1+ 16382365-16400484	42.14
1_16447353_16464751 1- 16447353-16464751	43.87
1_16506129_16526128 1+ 16506129-16526128	48.30
1_16716208_16736207 1+ 16716208-16736207	42.90
1_17138894_17141895 1- 17138894-17141895	44.80
1_17215817_17235816 1+ 17215817-17235816	40.50
1_17670189_17690188 1+ 17670189-17690188	42.84
1_17729712_17749711 1- 17729712-17749711	41.79
1_17778272_17780125 1- 17778272-17780125	40.13
1_17784849_17786029 1+ 17784849-17786029	45.89
1_17822415_17842414 1+ 17822415-17842414	39.23
1_17906453_17926452 1+ 17906453-17926452	41.66
1_17978109_17998108 1+ 17978109-17998108	40.51
1_18036835_18056834 1+ 18036835-18056834	37.33
1_18077300_18095844 1- 18077300-18095844	41.74
1_18107076_18127075 1+ 18107076-18127075	38.19
1_18170095_18190094 1- 18170095-18190094	42.46
1_18290523_18295015 1- 18290523-18295015	44.56
1_18330108_18344862 1+ 18330108-18344862	39.69
1_18540467_18560466 1- 18540467-18560466	38.23
1_18597085_18617084 1- 18597085-18617084	37.69
1_18629166_18640427 1+ 18629166-18640427	38.09
1_18652021_18672020 1+ 18652021-18672020	40.01
1_18682662_18690499 1+ 18682662-18690499	37.25
1_18765824_18773773 1+ 18765824-18773773	38.50
1_18815866_18835865 1+ 18815866-18835865	39.93
1_19125843_19145842 1- 19125843-19145842	37.24
1_19582797_19602796 1+ 19582797-19602796	36.26
1_19695809_19715808 1- 19695809-19715808	39.42
1_20180963_20200962 1- 20180963-20200962	39.07
1_20507178_20510739 1- 20507178-20510739	36.08
1_21062595_21082594 1- 21062595-21082594	40.09
1_21116958_21127058 1+ 21116958-21127058	42.90
1_21185494_21205493 1+ 21185494-21205493	40.28
1_21253363_21273362 1+ 21253363-21273362	41.73
1_21295761_21303541 1+ 21295761-21303541	39.20
1_21371115_21372490 1+ 21371115-21372490	42.95
1_21724291_21741993 1+ 21724291-21741993	43.51
1_21827817_21834397 1+ 21827817-21834397	44.16
1_21903995_21912738 1+ 21903995-21912738	38.15
1_22179541_22199540 1+ 22179541-22199540	38.22
1_22539055_22559054 1+ 22539055-22559054	38.90
1_22820628_22840627 1+ 22820628-22840627	39.22
1_22924340_22933384 1- 22924340-22933384	34.44
1_22943705_22963704 1+ 22943705-22963704	36.59
1_22988680_23003582 1+ 22988680-23003582	34.99
1_23179987_23199986 1- 23179987-23199986	35.30
1_23706093_23726092 1- 23706093-23726092	32.15
1_24082601_24102600 1+ 24082601-24102600	35.52
1_24208301_24228300 1- 24208301-24228300	34.37
1_24806853_24826852 1+ 24806853-24826852	37.31
1_25054213_25074212 1- 25054213-25074212	39.86
1_25134861_25154860 1+ 25134861-25154860	37.86
1_25184448_25204447 1+ 25184448-25204447	37.35
1_25287739_25307738 1+ 25287739-25307738	41.82
