id	SRX109278	SRX109279	SRX1720957	SRX1720958
FBgn0046692	3.321039648	4.451573372	17.99885362	13.99339776
FBgn0046696	1.186010853	0	2.65930954	2.852726849
FBgn0046697	2.392834255	1.385650902	17.53316023	11.46874392
FBgn0046698	0.950961055	2.607994812	43.00562589	37.5153533
FBgn0046704	22.67844921	29.95305853	17.519819	15.74337349
FBgn0046706	2.678622956	9.990262249	40.87383644	29.97755625
FBgn0046756	0	0	0.132948286	0.115704783
FBgn0046763	0.441942709	2.32942756	2.015314083	2.072357357
FBgn0046776	6.026111486	9.405167244	21.52368899	20.8658593
FBgn0046793	22.8497294	54.99393957	252.6884155	271.8065254
FBgn0046873	56.55584559	173.4695494	244.4430755	278.0028897
