id	minimum_pValue	call	cutoff
ENSG00000038358	3.69E-16	present	0.05
ENSG00000038382	4.96E-20	present	0.05
ENSG00000038427	7.40E-20	present	0.05
ENSG00000038532	3.19E-13	present	0.05
ENSG00000038945	1.18E-31	present	0.05
ENSG00000039068	7.13E-19	present	0.05
ENSG00000039123	1.10E-20	present	0.05
ENSG00000039139	1.34E-10	present	0.05
ENSG00000039319	3.26E-19	present	0.05
ENSG00000039523	2.45E-19	present	0.05
ENSG00000039537	2.06E-10	present	0.05
ENSG00000039560	6.48E-17	present	0.05
ENSG00000039600	0.032599515	present	0.05
ENSG00000039650	1.13E-18	present	0.05
ENSG00000039987	1.11E-05	present	0.05
ENSG00000040199	3.70E-08	present	0.05
ENSG00000040275	2.41E-11	present	0.05
ENSG00000040341	7.88E-20	present	0.05
ENSG00000040487	7.17E-12	present	0.05
ENSG00000040531	1.10E-13	present	0.05
ENSG00000040608	3.78E-08	present	0.05
ENSG00000040633	1.71E-15	present	0.05
ENSG00000040731	1.19E-05	present	0.05
ENSG00000040933	9.45E-14	present	0.05
ENSG00000041353	5.26E-11	present	0.05
ENSG00000041357	1.19E-25	present	0.05
ENSG00000041515	0.001277124	present	0.05
ENSG00000041802	3.64E-15	present	0.05
ENSG00000041880	2.85E-15	present	0.05
ENSG00000041982	1.58E-17	present	0.05
ENSG00000041988	9.75E-13	present	0.05
ENSG00000042062	3.76E-08	present	0.05
ENSG00000042088	5.34E-11	present	0.05
ENSG00000042286	3.94E-11	present	0.05
ENSG00000042304	0.001352964	present	0.05
ENSG00000042317	1.09E-10	present	0.05
ENSG00000042429	9.18E-14	present	0.05
ENSG00000042445	3.98E-17	present	0.05
ENSG00000042493	6.76E-25	present	0.05
ENSG00000042753	5.55E-20	present	0.05
ENSG00000042781	0.45689029	absent	0.05
ENSG00000042813	0.003641054	present	0.05
ENSG00000042832	1.06E-06	present	0.05
ENSG00000042980	3.11E-19	present	0.05
ENSG00000043039	0.000106447	present	0.05
ENSG00000043093	6.37E-18	present	0.05
ENSG00000043143	4.72E-16	present	0.05
ENSG00000043355	6.56E-07	present	0.05
ENSG00000043462	5.76E-24	present	0.05
ENSG00000043514	3.82E-13	present	0.05
ENSG00000043591	2.21E-11	present	0.05
ENSG00000044012	0.00177502	present	0.05
ENSG00000044090	8.03E-12	present	0.05
ENSG00000044115	3.55E-27	present	0.05
ENSG00000044446	3.30E-13	present	0.05
ENSG00000044459	4.77E-10	present	0.05
ENSG00000044524	1.24E-08	present	0.05
ENSG00000044574	3.40E-31	present	0.05
ENSG00000046604	8.10E-14	present	0.05
ENSG00000046647	1.25E-14	present	0.05
ENSG00000046651	4.42E-16	present	0.05
ENSG00000046653	5.78E-14	present	0.05
ENSG00000046774	0.062443206	absent	0.05
ENSG00000046889	3.96E-12	present	0.05
ENSG00000047056	1.45E-11	present	0.05
ENSG00000047188	8.65E-13	present	0.05
ENSG00000047230	1.52E-11	present	0.05
ENSG00000047249	7.02E-17	present	0.05
ENSG00000047315	3.17E-19	present	0.05
ENSG00000047346	1.00E-19	present	0.05
ENSG00000047365	1.93E-22	present	0.05
ENSG00000047410	1.20E-23	present	0.05
ENSG00000047457	5.78E-24	present	0.05
ENSG00000047578	3.86E-13	present	0.05
ENSG00000047579	7.10E-14	present	0.05
ENSG00000047597	1.37E-05	present	0.05
ENSG00000047617	4.90E-12	present	0.05
ENSG00000047621	2.05E-12	present	0.05
ENSG00000047634	3.51E-11	present	0.05
ENSG00000047644	4.45E-16	present	0.05
ENSG00000047648	7.68E-12	present	0.05
ENSG00000047662	0.092654646	absent	0.05
ENSG00000047849	1.82E-22	present	0.05
ENSG00000047932	3.99E-14	present	0.05
ENSG00000047936	2.26E-17	present	0.05
ENSG00000048028	6.15E-15	present	0.05
