libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	approach	cutoff	mean	standard_deviation
ERX288496	0.2814166	36.7812113720643	22317	60675	78.1655234566665	15612	19973	0.239094369083634	49	20494	pValueCutoff	0.001	0.0168651250564192	2.4861776707876
ERX288496	0.140346	39.9456118665019	24237	60675	80.9192409753167	16162	19973	0.809993168732312	166	20494	pValueCutoff	0.01	0.0168651250564192	2.4861776707876
ERX288496	0.0754832	41.7519571487433	25333	60675	82.6315525960046	16504	19973	2.27383624475456	466	20494	pValueCutoff	0.05	0.0168651250564192	2.4861776707876
ERX288496	0.105168	40.8603213844252	24792	60675	81.7253291944125	16323	19973	1.31745876842003	270	20494	qValueCutoff	0.05	NA	NA
ERX288531	0.285983	36.4845488257108	22137	60675	77.9752666099234	15574	19973	0.229335415243486	47	20494	pValueCutoff	0.001	0.0165511146179118	2.51449947236274
ERX288531	0.14144	39.746188710342	24116	60675	80.8691733840685	16152	19973	0.751439445691422	154	20494	pValueCutoff	0.01	0.0165511146179118	2.51449947236274
ERX288531	0.0754417	41.5096827358879	25186	60675	82.4763430631352	16473	19973	2.11281350639211	433	20494	pValueCutoff	0.05	0.0165511146179118	2.51449947236274
ERX288531	0.102389	40.761433868974	24732	60675	81.7453562309117	16327	19973	1.23938713769884	254	20494	qValueCutoff	0.05	NA	NA
ERX288596	0.7072	32.2224969097651	19551	60675	73.6594402443298	14712	19973	0.146384307602225	30	20494	pValueCutoff	0.001	0.0509191194940889	2.34211774177593
ERX288596	0.369266	34.3255047383601	20827	60675	76.3280428578581	15245	19973	0.541621938128233	111	20494	pValueCutoff	0.01	0.0509191194940889	2.34211774177593
ERX288596	0.206555	35.8071693448702	21726	60675	78.3858208581585	15656	19973	1.63950424514492	336	20494	pValueCutoff	0.05	0.0509191194940889	2.34211774177593
ERX288596	0.270057	35.2286773794808	21375	60675	77.5546988434386	15490	19973	0.971015907094759	199	20494	qValueCutoff	0.05	NA	NA
ERX288597	0.498771	38.3090234857849	23244	60675	77.0990837630802	15399	19973	0.278130184444228	57	20494	pValueCutoff	0.001	0.0227191538310496	2.71654002350984
ERX288597	0.232328	43.9390193654718	26660	60675	80.7089570920743	16120	19973	0.93685956865424	192	20494	pValueCutoff	0.01	0.0227191538310496	2.71654002350984
ERX288597	0.1175733453	48.4548825710754	29400	60675	83.8381815450859	16745	19973	3.04479359812628	624	20494	pValueCutoff	0.05	0.0227191538310496	2.71654002350984
ERX288597	0.1357423	47.622579316028	28895	60675	83.1772893406098	16613	19973	2.34702839855568	481	20494	qValueCutoff	0.05	NA	NA
ERX288615	0.518358	38.7556654305727	23515	60675	77.8601111500526	15551	19973	0.239094369083634	49	20494	pValueCutoff	0.001	0.0250793111120892	2.66460343957465
ERX288615	0.245246	44.5026782035435	27002	60675	81.820457617784	16342	19973	0.853908461012979	175	20494	pValueCutoff	0.01	0.0250793111120892	2.66460343957465
ERX288615	0.125759	48.6246394725999	29503	60675	84.6092224503079	16899	19973	3.06919098272665	629	20494	pValueCutoff	0.05	0.0250793111120892	2.66460343957465
ERX288615	0.144739	47.8335393489905	29023	60675	84.0885195013268	16795	19973	2.29335415243486	470	20494	qValueCutoff	0.05	NA	NA
ERX288620	0.356786	37.011948908117	22457	60675	78.0103139237971	15581	19973	0.243973846003708	50	20494	pValueCutoff	0.001	0.0247897753282583	2.37011090350334
ERX288620	0.184582	39.6390605686032	24051	60675	80.3935312672107	16057	19973	0.785595784131941	161	20494	pValueCutoff	0.01	0.0247897753282583	2.37011090350334
ERX288620	0.102498	41.3135558302431	25067	60675	82.1158564061483	16401	19973	2.24943886015419	461	20494	pValueCutoff	0.05	0.0247897753282583	2.37011090350334
ERX288620	0.149617	40.2900700453234	24446	60675	81.0394031943123	16186	19973	1.17595393773787	241	20494	qValueCutoff	0.05	NA	NA
ERX288640	0.662674	32.4713638236506	19702	60675	73.9348119961949	14767	19973	0.17566116912267	36	20494	pValueCutoff	0.001	0.0506541507158039	2.29768437952756
ERX288640	0.350836	34.5859085290482	20985	60675	76.6434686827217	15308	19973	0.600175661169123	123	20494	pValueCutoff	0.01	0.0506541507158039	2.29768437952756
ERX288640	0.199264	36.0065925010301	21847	60675	78.5810844640264	15695	19973	1.79564750658729	368	20494	pValueCutoff	0.05	0.0506541507158039	2.29768437952756
ERX288640	0.271048	35.2929542645241	21414	60675	77.5346718069394	15486	19973	0.951497999414463	195	20494	qValueCutoff	0.05	NA	NA
SRX1020488	0.043264	34.9072929542645	21180	60675	71.3463175286637	14250	19973	0.165902215282522	34	20494	pValueCutoff	0.001	0.00283244712486294	2.41599667105163
SRX1020488	0.0220485	41.306963329213	25063	60675	76.0726981424924	15194	19973	0.829511076412608	170	20494	pValueCutoff	0.01	0.00283244712486294	2.41599667105163
SRX1020488	0.012091	46.0140090646889	27919	60675	79.4722875882441	15873	19973	3.15702156728799	647	20494	pValueCutoff	0.05	0.00283244712486294	2.41599667105163
SRX1020488	0.0142662	44.9493201483313	27273	60675	78.6962399238973	15718	19973	2.1908851371133	449	20494	qValueCutoff	0.05	NA	NA
SRX1020489	0.369008	38.5908529048208	23415	60675	71.5415811345316	14289	19973	0.561139845808529	115	20494	pValueCutoff	0.001	0.0803815144254438	1.63741669956457
SRX1020489	0.253153	45.4866089822827	27599	60675	76.2929955439844	15238	19973	1.07836439933639	221	20494	pValueCutoff	0.01	0.0803815144254438	1.63741669956457
SRX1020489	0.180901	52.8866913885455	32089	60675	80.5387272818305	16086	19973	2.53732799843857	520	20494	pValueCutoff	0.05	0.0803815144254438	1.63741669956457
SRX1020489	0.176744	53.4371652245571	32423	60675	80.8391328293196	16146	19973	2.77154289060213	568	20494	qValueCutoff	0.05	NA	NA
SRX4794870	3.23957	17.3102595797281	10503	60675	45.3562309117308	9059	19973	0.141504830682151	29	20494	pValueCutoff	0.001	0.0548911701072974	3.74183824742629
SRX4794870	1.18235	25.3349814585909	15372	60675	59.72562959996	11929	19973	0.873426368693276	179	20494	pValueCutoff	0.01	0.0548911701072974	3.74183824742629
SRX4794870	0.481162	32.459826946848	19695	60675	68.5725729735142	13696	19973	3.73767932077681	766	20494	pValueCutoff	0.05	0.0548911701072974	3.74183824742629
SRX4794870	1.28381	24.713638236506	14995	60675	58.8394332348671	11752	19973	0.800234214892164	164	20494	qValueCutoff	0.05	NA	NA
SRX4794871	0.850566	16.6295838483725	10090	60675	45.3462173934812	9057	19973	0.0683126768810384	14	20494	pValueCutoff	0.001	0.0151130134651518	3.6844729728455
SRX4794871	0.314101	24.0576843840132	14597	60675	60.3164271766885	12047	19973	0.595296184249049	122	20494	pValueCutoff	0.01	0.0151130134651518	3.6844729728455
SRX4794871	0.129143	29.5393489905233	17923	60675	68.3672958493967	13655	19973	2.63491753684005	540	20494	pValueCutoff	0.05	0.0151130134651518	3.6844729728455
SRX4794871	0.2515323	25.6332921302019	15553	60675	62.7847594252241	12540	19973	0.888064799453499	182	20494	qValueCutoff	0.05	NA	NA
SRX4794872	3.077564	14.401318500206	8738	60675	39.3631402393231	7862	19973	0.11710744608178	24	20494	pValueCutoff	0.001	0.0492388982035174	3.81175366555302
SRX4794872	1.107547	23.3770086526576	14184	60675	57.1821959645521	11421	19973	0.892944276373573	183	20494	pValueCutoff	0.01	0.0492388982035174	3.81175366555302
