libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	approach	cutoff	mean	standard_deviation
SRX306489	2.77668	48.9331595606032	13141	26855	69.3617021276596	12551	18095	6.95697923833421	1719	24709	pValueCutoff	0.05	0.119275796272086	6.7768676397061
SRX306490	2.65362	48.5198287097375	13030	26855	68.6653771760155	12425	18095	6.91650815492331	1709	24709	pValueCutoff	0.05	0.107406372402878	7.02530166513134
SRX306491	2.51989	47.4920871346118	12754	26855	67.0737772865432	12137	18095	6.77081225464406	1673	24709	pValueCutoff	0.05	0.113482855741542	6.58419025422089
SRX306492	2.140804	48.2554459132378	12959	26855	68.4166896932854	12380	18095	6.61702213768262	1635	24709	pValueCutoff	0.05	0.0828579510885945	7.21991435394548
SRX306493	1.91935	48.4304598771179	13006	26855	68.5880077369439	12411	18095	6.8760370715124	1699	24709	pValueCutoff	0.05	0.0763061791731711	7.10307516969144
SRX306494	1.609907	49.0299757959412	13167	26855	69.4943354517823	12575	18095	6.64535189607026	1642	24709	pValueCutoff	0.05	0.0564888907439694	7.66227249076506
SRX306495	1.57217	48.7581455967231	13094	26855	69.1959104725062	12521	18095	6.66154032943462	1646	24709	pValueCutoff	0.05	0.0521895988149591	7.92571568766971
SRX306496	1.643817	47.9612735058648	12880	26855	68.344846642719	12367	18095	6.45513780403901	1595	24709	pValueCutoff	0.05	0.0531340053382692	8.05328804410712
SRX306497	1.768108	47.3021783652951	12703	26855	67.40536059685	12197	18095	6.30539479541867	1558	24709	pValueCutoff	0.05	0.0576796768674355	8.00285168315289
SRX3145770	6.26061	39.7742663656885	9691	24365	40.6822033898305	9601	23600	6.97990416934849	976	13983	pValueCutoff	0.05	0.343203666438458	5.84180450864793
SRX3145771	6.37823	38.7276831520624	9436	24365	39.593220338983	9344	23600	6.85832796967746	959	13983	pValueCutoff	0.05	0.34955807366384	5.84419364622122
SRX3145772	7.96492	39.0683357274779	9519	24365	40.0169491525424	9444	23600	6.5007509118215	909	13983	pValueCutoff	0.05	0.444066994484677	5.78287997800353
SRX3145773	7.30426	39.26944387441	9568	24365	40.2245762711864	9493	23600	6.64378173496388	929	13983	pValueCutoff	0.05	0.404147750068068	5.80968423015239
SRX3145886	0.715408	50.1974136994241	13858	27607	55.2582224051965	12080	21861	7.17905820990995	1459	20323	pValueCutoff	0.05	0.0843275891975214	3.66769827642637
SRX3145887	0.961095	50.5560184011301	13957	27607	55.4960889254837	12132	21861	7.22826354376814	1469	20323	pValueCutoff	0.05	0.11504941843878	3.63456633238078
SRX3145888	0.858766	49.8641648857174	13766	27607	55.1667352820091	12060	21861	6.98223687447719	1419	20323	pValueCutoff	0.05	0.10375962772508	3.61381086311794
SRX3145889	0.980928	49.5816278480096	13688	27607	55.0295045972279	12030	21861	7.1396939428234	1451	20323	pValueCutoff	0.05	0.120099729325674	3.58321162733971
SRX3145890	0.938574	51.1645597131162	14125	27607	56.5344677736609	12359	21861	7.18397874329577	1460	20323	pValueCutoff	0.05	0.114671242329975	3.58866181410016
SRX3145891	0.937249	49.320824428587	13616	27607	54.5171767073784	11918	21861	7.01668060817793	1426	20323	pValueCutoff	0.05	0.121085623192628	3.46994946338588
SRX3145892	0.561921	49.2737349223023	13603	27607	55.2673711175152	12082	21861	7.10525020912267	1444	20323	pValueCutoff	0.05	0.0615652093394176	3.83479245075157
SRX3145893	0.530913	49.7265186365777	13728	27607	55.400027446137	12111	21861	7.25778674408306	1475	20323	pValueCutoff	0.05	0.0580185995022871	3.8415020942479
SRX3145894	0.759191	50.2734813634223	13879	27607	56.3148986780111	12311	21861	7.09048860896521	1441	20323	pValueCutoff	0.05	0.0895103483326861	3.66833454719402
SRX3145895	0.937843	50.2879704422791	13883	27607	55.5921504048305	12153	21861	7.09048860896521	1441	20323	pValueCutoff	0.05	0.120796626872129	3.47574299122727
SRX3145896	1.11536	48.62534864346	13424	27607	53.7303874479667	11746	21861	7.29715101116961	1483	20323	pValueCutoff	0.05	0.134968349366509	3.61070005404552
SRX3145897	1.28006	47.5060673017713	13115	27607	52.3809523809524	11451	21861	7.24794567731142	1473	20323	pValueCutoff	0.05	0.151982289375723	3.65232115846012
SRX3145898	0.714308	50.8856449451226	14048	27607	57.0284982388729	12467	21861	7.25778674408306	1475	20323	pValueCutoff	0.05	0.0821573588671726	3.72398060970722
SRX3145899	0.961916	50.1539464628536	13846	27607	56.2234115548237	12291	21861	7.47921074644491	1520	20323	pValueCutoff	0.05	0.117841919950017	3.58370216077133
SRX3145900	0.861146	49.3679139348716	13629	27607	54.5034536389003	11915	21861	7.2676278108547	1477	20323	pValueCutoff	0.05	0.101597206388652	3.666191859031
SRX3145901	0.990382	48.62534864346	13424	27607	53.7349618041261	11747	21861	7.31683314471289	1487	20323	pValueCutoff	0.05	0.112961770783913	3.74243415943496
SRX3145902	0.953918	46.6222334915058	12871	27607	52.5090343534148	11479	21861	7.10032967573685	1443	20323	pValueCutoff	0.05	0.11339773458227	3.64959999743759
SRX3145903	1.23309	48.107364074329	13281	27607	54.0277205983258	11811	21861	7.15445554298086	1454	20323	pValueCutoff	0.05	0.14948139265902	3.60583891587205
SRX3145904	1.57985	50.4654616582751	13932	27607	56.1090526508394	12266	21861	7.5284160803031	1530	20323	pValueCutoff	0.05	0.199746070696891	3.51530112112117
SRX3145905	1.02897	50.5958633679864	13968	27607	56.2691551164174	12301	21861	7.15937607636668	1455	20323	pValueCutoff	0.05	0.126246603640352	3.58049913302777
SRX3145906	0.674862	49.1831781794472	13578	27607	54.302181967888	11871	21861	7.15937607636668	1455	20323	pValueCutoff	0.05	0.0771383015697949	3.73808437816016
SRX3145907	0.765991	48.3717897634658	13354	27607	53.968253968254	11798	21861	7.09540914235103	1442	20323	pValueCutoff	0.05	0.0864910609677302	3.76589289777607
SRX3145908	0.837091	49.9402325497157	13787	27607	55.7659759388866	12191	21861	7.31191261132707	1486	20323	pValueCutoff	0.05	0.0939107815961462	3.78059787464937
SRX3145909	0.700097	49.911254392002	13779	27607	55.9763963222176	12237	21861	7.20366087683905	1464	20323	pValueCutoff	0.05	0.0776653235648197	3.80632812782357
SRX3145910	0.831061	51.3094505016844	14165	27607	56.3972370888797	12329	21861	7.3709590119569	1498	20323	pValueCutoff	0.05	0.0931219795595582	3.78354536309104
SRX3145911	0.6788112	49.9438548194299	13788	27607	55.857463062074	12211	21861	7.24794567731142	1473	20323	pValueCutoff	0.05	0.0748962935210249	3.81855864374112
SRX3145912	0.641842	48.411634730322	13365	27607	53.9911257490508	11803	21861	7.02160114156375	1427	20323	pValueCutoff	0.05	0.0710227699220945	3.81232403552552
SRX3145913	0.875258	49.4222479805846	13644	27607	54.4439870088285	11902	21861	7.21350194361069	1466	20323	pValueCutoff	0.05	0.105937439818569	3.6096802970486
