libraryId	proportionCodingPresent	proportionGenicPresent	speciesId	organism
SRX634335	66.4046462724678	29.3547589616811	9606	Homo sapiens
SRX580467	64.2867871626696	27.9208899876391	9606	Homo sapiens
SRX602817	64.6723076152806	27.3901936547178	9606	Homo sapiens
SRX591197	65.0928753817654	26.3798928718583	9606	Homo sapiens
SRX574674	66.7150653382066	29.6036258755665	9606	Homo sapiens
SRX568452	65.6486256446202	28.7185826122785	9606	Homo sapiens
SRX616200	65.1880038051369	28.2521631644005	9606	Homo sapiens
SRX632481	65.6185850898713	28.9888751545117	9606	Homo sapiens
SRX568839	64.4820507685375	28.2999587968686	9606	Homo sapiens
SRX602394	64.0815100385521	27.0951792336218	9606	Homo sapiens
SRX601028	66.4947679367146	29.5278121137206	9606	Homo sapiens
SRX632938	64.8074901116507	27.324268644417	9606	Homo sapiens
SRX634341	64.3168277174185	27.0539761021838	9606	Homo sapiens
SRX632933	64.5771791919091	27.5039142974866	9606	Homo sapiens
SRX604971	65.047814549642	28.7482488669139	9606	Homo sapiens
SRX596005	65.8689230461122	28.7729707457767	9606	Homo sapiens
SRX614493	64.2267060531718	27.6044499381953	9606	Homo sapiens
SRX627942	65.4083012066289	29.2031314379893	9606	Homo sapiens
SRX623863	65.9390176738597	29.9101771734652	9606	Homo sapiens
SRX634042	66.5298152505883	28.8372476308199	9606	Homo sapiens
SRX592869	63.3455164472037	25.9464359291306	9606	Homo sapiens
SRX632657	65.3482200971311	28.3873094355171	9606	Homo sapiens
SRX579169	66.8552545937015	30.020601565719	9606	Homo sapiens
SRX631344	63.365543483703	26.2875978574372	9606	Homo sapiens
SRX562998	64.3168277174185	27.1297898640297	9606	Homo sapiens
SRX617284	63.8111450458118	27.0506798516687	9606	Homo sapiens
SRX574575	63.9663545786812	27.4495261639885	9606	Homo sapiens
SRX604932	64.7424022430281	27.5764318088175	9606	Homo sapiens
SRX622565	64.4319831772893	27.4396374124433	9606	Homo sapiens
SRX571804	60.2613528263155	23.8038730943552	9606	Homo sapiens
SRX640234	60.9773193811646	24.1631644004944	9606	Homo sapiens
SRX576708	62.4192660091123	26.6287597857437	9606	Homo sapiens
SRX560869	66.3796124768437	29.2311495673671	9606	Homo sapiens
SRX405362	67.0455114404446	30.2628759785744	9606	Homo sapiens
SRX203472	64.3969358634156	27.0506798516687	9606	Homo sapiens
SRX260813	65.6986932358684	28.8768026370004	9606	Homo sapiens
SRX204035	65.102888900015	28.6295838483725	9606	Homo sapiens
SRX630044	65.8739298052371	28.6641944787804	9606	Homo sapiens
SRX203613	64.0214289290542	27.2517511330861	9606	Homo sapiens
SRX203919	64.2166925349221	26.8562010712814	9606	Homo sapiens
SRX203839	63.4456516297001	26.4672435105068	9606	Homo sapiens
SRX203852	67.1306263455665	29.5393489905233	9606	Homo sapiens
SRX204039	63.3855705202023	25.9546765554182	9606	Homo sapiens
SRX573998	61.8735292645071	25.4470539761022	9606	Homo sapiens
SRX223441	66.3545786812196	29.2871858261228	9606	Homo sapiens
SRX204054	64.4219696590397	27.1858261227853	9606	Homo sapiens
SRX203625	65.4133079657538	27.7198187062217	9606	Homo sapiens
SRX204005	67.9066740099134	28.4351050679852	9606	Homo sapiens
SRX203642	66.4046462724678	29.4684796044499	9606	Homo sapiens
SRX203441	64.8124968707755	27.7544293366296	9606	Homo sapiens
SRX203764	64.0364492064287	26.0156571899464	9606	Homo sapiens
SRX221706	66.4447003454664	27.8862793572311	9606	Homo sapiens
SRX223473	65.0177739948931	28.463123197363	9606	Homo sapiens
SRX223355	66.5999098783358	28.9938195302843	9606	Homo sapiens
SRX223298	64.5571521554098	27.3901936547178	9606	Homo sapiens
SRX223173	63.2053271917088	26.4260403790688	9606	Homo sapiens
SRX223108	65.6936864767436	28.4301606922126	9606	Homo sapiens
SRX221700	66.1342812797276	29.1932426864442	9606	Homo sapiens
SRX221456	67.6463225354228	31.3967861557478	9606	Homo sapiens
SRX222599	68.4223701997697	30.5002060156572	9606	Homo sapiens
SRX410374	65.1729835277625	28.0049443757726	9606	Homo sapiens
SRX223261	65.2881389876333	27.1874742480429	9606	Homo sapiens
SRX408093	64.7824563160266	26.9616810877627	9606	Homo sapiens
SRX221275	64.9576928853953	28.1450350226617	9606	Homo sapiens
SRX222854	65.3982876883793	28.8866913885455	9606	Homo sapiens
SRX222689	63.8912531918089	27.5698393077874	9606	Homo sapiens
SRX221214	65.1729835277625	28.1499793984343	9606	Homo sapiens
SRX223645	63.86121263706	26.6419447878039	9606	Homo sapiens
SRX221679	66.1593150753517	28.9163576431809	9606	Homo sapiens
SRX260432	66.4947679367146	28.1532756489493	9606	Homo sapiens
SRX222951	65.2530916737596	28.4087350638649	9606	Homo sapiens
SRX260177	63.0501176588394	24.6625463535229	9606	Homo sapiens
SRX261953	64.5871927101587	27.5418211784096	9606	Homo sapiens
SRX261585	65.3882741701297	27.238566131026	9606	Homo sapiens
SRX261831	64.7323887247785	27.6967449526164	9606	Homo sapiens
SRX259857	65.0678415861413	28.1664606510095	9606	Homo sapiens
SRX260571	66.5548490462124	29.6448290070045	9606	Homo sapiens
SRX260763	66.8101937615781	29.1701689328389	9606	Homo sapiens
SRX600160	64.5871927101587	27.3440461475072	9606	Homo sapiens
SRX260260	66.1893556301006	29.3794808405439	9606	Homo sapiens
SRX419107	64.8074901116507	27.5550061804697	9606	Homo sapiens
SRX575723	66.2694637760977	29.3053152039555	9606	Homo sapiens
SRX414044	65.0728483452661	29.1421508034611	9606	Homo sapiens
SRX419404	64.2417263305462	27.0490317264112	9606	Homo sapiens
SRX418963	66.9603965353227	29.6151627523692	9606	Homo sapiens
SRX415552	66.7150653382066	30.2694684796044	9606	Homo sapiens
SRX406705	65.4483552796275	28.4746600741656	9606	Homo sapiens
SRX408321	65.6436188854954	28.1730531520396	9606	Homo sapiens
SRX414888	65.4433485205027	29.2393901936547	9606	Homo sapiens
SRX418850	64.8124968707755	28.7861557478368	9606	Homo sapiens
SRX418486	65.1129024182647	28.4120313143799	9606	Homo sapiens
SRX572822	65.3832674110049	27.831891223733	9606	Homo sapiens
SRX606270	64.5271116006609	27.3522867737948	9606	Homo sapiens
SRX623774	65.2230511190107	27.8187062216728	9606	Homo sapiens
SRX601365	62.8598608120963	25.554182117841	9606	Homo sapiens
SRX614170	64.9877334401442	28.3823650597445	9606	Homo sapiens
SRX562718	66.2944975717218	29.0152451586321	9606	Homo sapiens
SRX584080	66.1743353527262	29.1207251751133	9606	Homo sapiens
SRX602084	64.6122265057828	27.4149155335806	9606	Homo sapiens
SRX564113	64.2116857757973	27.4346930366708	9606	Homo sapiens
SRX628547	64.8976117758975	28.5290482076638	9606	Homo sapiens
SRX625410	66.6299504330847	29.9299546765554	9606	Homo sapiens
SRX585131	66.6800180243329	29.5937371240214	9606	Homo sapiens
SRX590591	64.7574225204025	27.5418211784096	9606	Homo sapiens
SRX637497	63.5257597756972	26.52492789452	9606	Homo sapiens
SRX618791	63.7710909728133	27.7198187062217	9606	Homo sapiens
SRX600364	65.7137135132429	28.2455706633704	9606	Homo sapiens
SRX614615	63.7210233815651	26.3897816234034	9606	Homo sapiens
SRX629747	64.3468682721674	27.4149155335806	9606	Homo sapiens
SRX588719	64.9326590897712	27.9719818706222	9606	Homo sapiens
SRX602567	64.1866519801732	26.6996291718171	9606	Homo sapiens
SRX628044	66.2294097030992	28.2439225381129	9606	Homo sapiens
SRX640894	64.717368447404	28.7960444993819	9606	Homo sapiens
SRX605001	65.0327942722676	27.7527812113721	9606	Homo sapiens
SRX588077	66.9353627396986	30.7507210548002	9606	Homo sapiens
SRX633985	64.6172332649076	26.8660898228265	9606	Homo sapiens
SRX614057	64.9576928853953	28.4169756901525	9606	Homo sapiens
SRX567893	63.3254894107044	26.4145035022662	9606	Homo sapiens
SRX632379	66.2794772943474	29.0201895344046	9606	Homo sapiens
SRX622614	64.0314424473039	27.4824886691389	9606	Homo sapiens
SRX591416	64.221699294047	27.200659250103	9606	Homo sapiens
SRX602254	64.2617533670455	27.0424392253811	9606	Homo sapiens
SRX580622	65.7888149001152	28.7317676143387	9606	Homo sapiens
SRX601233	65.0728483452661	28.2900700453234	9606	Homo sapiens
SRX619688	67.2107344915636	29.6332921302019	9606	Homo sapiens
SRX594119	64.8725779802734	28.2818294190358	9606	Homo sapiens
SRX617580	64.0464627246783	28.1005356407087	9606	Homo sapiens
SRX558826	60.6819205928003	24.5356407086939	9606	Homo sapiens
SRX566669	59.2099334101036	23.9884631231974	9606	Homo sapiens
SRX567722	63.1853001552095	25.3844252163164	9606	Homo sapiens
SRX583559	61.6932859360136	24.0164812525752	9606	Homo sapiens
SRX558800	60.1962649576929	23.7099299546766	9606	Homo sapiens
SRX558252	61.7283332498873	24.6576019777503	9606	Homo sapiens
SRX632591	61.102488359285	24.8372476308199	9606	Homo sapiens
SRX559144	64.2317128122966	25.8409559126494	9606	Homo sapiens
SRX619564	63.971361337806	25.2772970745777	9606	Homo sapiens
SRX627856	63.6008611625695	27.2715286361764	9606	Homo sapiens
SRX560011	64.1465979071747	27.4248042851257	9606	Homo sapiens
SRX559575	63.6158814399439	25.6992171405027	9606	Homo sapiens
SRX621843	63.8261653231863	25.6299958796869	9606	Homo sapiens
SRX622577	61.407900665899	24.6081582200247	9606	Homo sapiens
SRX618439	61.1475491914084	23.6489493201483	9606	Homo sapiens
SRX573549	60.9723126220398	24.840543881335	9606	Homo sapiens
SRX628262	58.8194061983678	24.6361763494026	9606	Homo sapiens
SRX574849	62.8648675712211	25.5591264936135	9606	Homo sapiens
SRX590424	62.5194011916087	24.9048207663782	9606	Homo sapiens
SRX591227	59.2399739648526	24.044499381953	9606	Homo sapiens
SRX632448	61.7583738046363	25.1965389369592	9606	Homo sapiens
SRX580924	63.7760977319381	25.8178821590441	9606	Homo sapiens
