libraryId	cellTypeName	cellTypeId	CPM_Threshold	Genic	Genic_region_present	Proportion_genic_present	Protein_coding	Coding_region_present	Proportion_coding_present	Intergenic	Intergenic_region_present	Proportion_intergenic_present	pValue_cutoff	meanRefIntergenic	sdRefIntergenic	species	organism
SRX6060803	Multiplet	CL:0000548	13.9285788903101	47728	6389	13.3862722091854	22048	6135	27.8256531204644	28897	692	2.39471225386718	0.05	3.81678277534605	1.96898533577099	10090	Mus musculus
SRX6060803	Naive-CD4-T-cell	CL:0000895	6.52018443199585	47728	8018	16.7993630573248	22048	7582	34.3886066763425	28897	1497	5.18046856075025	0.05	1.11978359028734	2.90171480674606	10090	Mus musculus
SRX6060803	Naive-CD8-T-cell	CL:0000900	6.55740858207406	47728	7718	16.1708012068388	22048	7315	33.1776124818578	28897	1366	4.72713430459909	0.05	1.25445370590244	2.71812219213427	10090	Mus musculus
SRX6060804	B-cell	CL:0000236	7.97041601448967	47728	7527	15.7706168286959	22048	7126	32.3203918722787	28897	1474	5.10087552341073	0.05	1.14182833064155	3.23373566433847	10090	Mus musculus
SRX6060804	Marginal-zone-B-cell	CL:0000845	11.7079156046612	47728	6558	13.7403620516259	22048	6257	28.3789912917271	28897	979	3.38789493719071	0.05	2.5864019126473	2.39494435782044	10090	Mus musculus
SRX6060804	Memory-B-cell	CL:0000787	14.5197188152739	47728	6055	12.6864733489775	22048	5803	26.319847605225	28897	740	2.56081946222791	0.05	3.69170815597651	2.10882512078337	10090	Mus musculus
SRX6060804	Monocyte	CL:0000576	10.547049067509	47728	7149	14.9786288970835	22048	6879	31.2001088534107	28897	886	3.0660622209918	0.05	2.53368466206242	2.19583087635884	10090	Mus musculus
SRX6060804	Naive-CD4-T-cell	CL:0000895	10.5110581587359	47728	7165	15.0121521957761	22048	6839	31.0186865021771	28897	1057	3.6578191507769	0.05	2.29917718788815	2.36888751361422	10090	Mus musculus
SRX6060805	B-cell	CL:0000236	7.79425321647329	47728	7580	15.8816627556152	22048	7179	32.5607764876633	28897	1461	5.0558881544797	0.05	1.10586449109473	3.22805806663682	10090	Mus musculus
SRX6060805	Marginal-zone-B-cell	CL:0000845	10.8180488326724	47728	6758	14.1594032852833	22048	6433	29.1772496371553	28897	1074	3.71664878707132	0.05	2.56235488609331	2.3872123785518	10090	Mus musculus
SRX6060805	Memory-B-cell	CL:0000787	11.9827311725616	47728	6551	13.7256956084479	22048	6262	28.4016690856313	28897	969	3.35328926878223	0.05	3.24288454780531	2.20434431202911	10090	Mus musculus
SRX6060805	Monocyte	CL:0000576	11.2286735407537	47728	7006	14.6790144150184	22048	6747	30.6014150943396	28897	820	2.8376648094958	0.05	2.91799264404177	2.12253838815949	10090	Mus musculus
SRX6060805	Naive-CD4-T-cell	CL:0000895	9.9744985320863	47728	7255	15.2007207509219	22048	6918	31.3769956458636	28897	1074	3.71664878707132	0.05	2.37111410066366	2.33547058594318	10090	Mus musculus
SRX6060805	Naive-CD8-T-cell	CL:0000900	12.7976247608444	47728	6022	12.6173315454241	22048	5774	26.1883164005806	28897	687	2.37740941966294	0.05	3.52861446835447	1.99692776874262	10090	Mus musculus
SRX6060806	B-cell	CL:0000236	6.54954959004314	47728	7971	16.7008883674154	22048	7505	34.0393686502177	28897	1532	5.30158840017995	0.05	0.754029477097269	3.68386199610778	10090	Mus musculus
SRX6060806	Marginal-zone-B-cell	CL:0000845	9.00058413791055	47728	7322	15.3410995641971	22048	6940	31.4767779390421	28897	1132	3.91736166384054	0.05	2.01538589416179	2.4643662448237	10090	Mus musculus
SRX6060806	Memory-CD8-T-cell	CL:0000909	9.6706187261861	47728	6977	14.6182534361381	22048	6670	30.2521770682148	28897	880	3.04529881994671	0.05	2.51647567553413	2.16662951114231	10090	Mus musculus
SRX6060806	Multiplet	CL:0000548	11.6485143983958	47728	6878	14.4108280254777	22048	6555	29.730587808418	28897	813	2.81344084160986	0.05	3.00082825742027	2.10993623617621	10090	Mus musculus
SRX6060806	Naive-CD4-T-cell	CL:0000895	6.54908192212108	47728	7943	16.6422225947033	22048	7499	34.0121552975327	28897	1409	4.87593867875558	0.05	1.08767074300069	2.91402765869641	10090	Mus musculus
SRX6060806	Naive-CD8-T-cell	CL:0000900	6.96450886283499	47728	7592	15.9068052296346	22048	7187	32.59706095791	28897	1217	4.21150984531266	0.05	1.30169743006646	2.65033750745219	10090	Mus musculus
SRX6060806	NK-cell	CL:0000623	13.4269339820034	47728	6715	14.0693094200469	22048	6425	29.1409651669086	28897	781	2.7027027027027	0.05	3.7867766849154	2.08114515631022	10090	Mus musculus
SRX6060807	B-cell	CL:0000236	6.30631539649066	47728	8027	16.8182199128394	22048	7562	34.2978955007257	28897	1559	5.39502370488286	0.05	0.729892277587512	3.69684605042934	10090	Mus musculus
SRX6060807	Marginal-zone-B-cell	CL:0000845	9.2661308596695	47728	7260	15.2111967817633	22048	6908	31.3316400580552	28897	1070	3.70280651970793	0.05	1.93371174046127	2.51520891130109	10090	Mus musculus
SRX6060807	Memory-B-cell	CL:0000787	15.1643359082376	47728	6015	12.6026651022461	22048	5756	26.1066763425254	28897	668	2.31165864968682	0.05	4.7727869448482	1.95136376249141	10090	Mus musculus
SRX6060807	Memory-CD8-T-cell	CL:0000909	9.47632261824476	47728	7096	14.8675829701643	22048	6772	30.7148040638607	28897	892	3.08682562203689	0.05	2.75118842693952	2.10476071776675	10090	Mus musculus
SRX6060807	Multiplet	CL:0000548	11.5513076080212	47728	6915	14.4883506537043	22048	6597	29.9210812772134	28897	832	2.87919161158598	0.05	2.96712636283305	2.13508279578298	10090	Mus musculus
SRX6060807	Naive-CD4-T-cell	CL:0000895	6.39126804776363	47728	8029	16.822410325176	22048	7564	34.3069666182874	28897	1388	4.80326677509776	0.05	1.0663499270216	2.93374742927192	10090	Mus musculus
SRX6060807	Naive-CD8-T-cell	CL:0000900	6.60307398490436	47728	7666	16.0618504860878	22048	7252	32.8918722786647	28897	1240	4.29110288265218	0.05	1.29802138950042	2.62867074314473	10090	Mus musculus
SRX6060811	B-cell	CL:0000236	7.14530270777201	47728	7049	14.7691082802548	22048	6664	30.2249637155297	28897	1182	4.09039000588296	0.05	1.47618686151606	2.55736846919417	10090	Mus musculus
SRX6060811	T-cell	CL:0000084	9.26739683456615	47728	6573	13.7717901441502	22048	6231	28.2610667634253	28897	1008	3.48825137557532	0.05	2.74414864953385	2.09389864252789	10090	Mus musculus
SRX6060812	B-cell	CL:0000236	6.58397452853901	47728	7231	15.150435802883	22048	6821	30.9370464441219	28897	1262	4.36723535315085	0.05	1.12877868516038	2.8347977565309	10090	Mus musculus
SRX6060812	Ly6c-high-monocyte	CL:0000576	10.7557645520116	47728	6320	13.2417029835736	22048	6093	27.6351596516691	28897	551	1.90677232930754	0.05	3.28842108366261	1.86443957398783	10090	Mus musculus
SRX6060812	T-cell	CL:0000084	7.97093001822354	47728	6940	14.5407308079115	22048	6571	29.8031567489115	28897	1083	3.74779388863896	0.05	2.01314931150509	2.30719417204297	10090	Mus musculus
SRX6060813	B-cell	CL:0000236	6.00285495781794	47728	7884	16.5186054307744	22048	7386	33.4996371552975	28897	1448	5.01090078554867	0.05	0.98656271609605	2.9717577132349	10090	Mus musculus
SRX6060813	Ly6c-high-monocyte	CL:0000576	8.52456780441232	47728	7079	14.8319644653034	22048	6780	30.7510885341074	28897	687	2.37740941966294	0.05	2.6510572467932	1.89572321923301	10090	Mus musculus
SRX6060813	Ly6c-low-monocyte	CL:0000576	16.8889677040715	47728	5360	11.2303050620181	22048	5165	23.4261611030479	28897	436	1.50880714260996	0.05	5.76970909955626	1.73849115780671	10090	Mus musculus
SRX6060813	T-cell	CL:0000084	7.95662683579273	47728	7330	15.3578612135434	22048	6918	31.3769956458636	28897	1111	3.84468976018272	0.05	1.76226883458941	2.41484256370546	10090	Mus musculus
SRX6060814	B-cell	CL:0000236	6.21078471712205	47728	7742	16.2210861548776	22048	7237	32.8238388969521	28897	1467	5.0766515555248	0.05	1.02146120952247	2.98521458313697	10090	Mus musculus
SRX6060814	Ly6c-high-monocyte	CL:0000576	11.4277355713411	47728	6349	13.3024639624539	22048	6122	27.7666908563135	28897	519	1.79603419040039	0.05	3.42110347421329	1.83872959314779	10090	Mus musculus
SRX6060814	T-cell	CL:0000084	8.21679858736799	47728	7198	15.0812939993295	22048	6796	30.8236574746009	28897	1132	3.91736166384054	0.05	1.81159929635248	2.43196177097407	10090	Mus musculus
SRX6060831	B-cell	CL:0000236	14.5093010200039	47728	6243	13.0803721086155	22048	5910	26.805152394775	28897	1214	4.20112814479012	0.05	2.90488645198419	2.59772388147364	10090	Mus musculus
SRX6060831	T-cell	CL:0000084	16.3975345395846	47728	5952	12.470667113644	22048	5636	25.5624092888244	28897	1033	3.57476554659653	0.05	3.90055325956864	2.31212218609675	10090	Mus musculus
SRX6060832	T-cell	CL:0000084	13.1350195571059	47728	6319	13.2396077774053	22048	5990	27.1679970972424	28897	1249	4.32224798421981	0.05	2.55695532085778	2.63990283227403	10090	Mus musculus
SRX6060833	B-cell	CL:0000236	11.8629395507439	47728	6321	13.2437981897419	22048	6003	27.2269593613933	28897	1431	4.95207114925425	0.05	1.52848862034673	3.4456015070026	10090	Mus musculus
SRX6060833	Monocyte	CL:0000576	15.5680489148097	47728	5714	11.9720080455917	22048	5528	25.0725689404935	28897	771	2.66809703429422	0.05	3.80238080892458	2.20549120916699	10090	Mus musculus
SRX6060833	T-cell	CL:0000084	11.8917761881236	47728	6391	13.390462621522	22048	6069	27.5263062409289	28897	1402	4.85171471086964	0.05	1.90446444208328	3.04055813579207	10090	Mus musculus
SRX6060834	B-cell	CL:0000236	11.4373104674265	47728	6526	13.6733154542407	22048	6190	28.0751088534107	28897	1453	5.02820361975292	0.05	1.48963014706716	3.42137287164389	10090	Mus musculus
SRX6060834	T-cell	CL:0000084	12.1060350314065	47728	6434	13.4805564867583	22048	6109	27.7077285921626	28897	1305	4.51603972730733	0.05	1.96008372360455	2.95423975933942	10090	Mus musculus
SRX6060840	B-cell	CL:0000236	17.9349385646832	47728	5541	11.609537378478	22048	5273	23.9160014513788	28897	1161	4.01771810222514	0.05	3.91966161866046	2.51381906530234	10090	Mus musculus
SRX6060841	B-cell	CL:0000236	13.9870496375709	47728	6046	12.667616493463	22048	5754	26.0976052249637	28897	1188	4.11115340692805	0.05	2.43307340601415	2.80638490434164	10090	Mus musculus
SRX6060841	Memory-B-cell	CL:0000787	9.82093752455234	47728	6897	14.4506369426752	22048	6610	29.9800435413643	28897	1105	3.82392635913763	0.05	2.11983504563244	2.48926633829164	10090	Mus musculus
SRX6060841	Monocyte	CL:0000576	10.5981441135637	47728	6850	14.3521622527657	22048	6607	29.9664368650218	28897	1009	3.49171194241617	0.05	2.91802002664733	2.1774561325071	10090	Mus musculus
SRX6060841	T-cell	CL:0000084	12.6931060811695	47728	6197	12.9839926248743	22048	5909	26.8006168359942	28897	1100	3.80662352493338	0.05	2.48722116270551	2.57575343457302	10090	Mus musculus
SRX6060842	B-cell	CL:0000236	14.9556257785723	47728	5847	12.2506704659739	22048	5581	25.3129535558781	28897	1213	4.19766757794927	0.05	2.59397602712322	2.83874331369666	10090	Mus musculus
SRX6060842	Memory-B-cell	CL:0000787	11.1024635256317	47728	6463	13.5413174656386	22048	6216	28.1930333817126	28897	1065	3.68550368550369	0.05	2.51224575265248	2.44846155494367	10090	Mus musculus
SRX6060842	Monocyte	CL:0000576	13.504913256254	47728	6105	12.7912336573919	22048	5898	26.7507256894049	28897	789	2.73038723742949	0.05	3.26123957446879	2.1909996804769	10090	Mus musculus
SRX6060842	T-cell	CL:0000084	13.5664961810313	47728	5977	12.5230472678512	22048	5692	25.8164005805515	28897	1162	4.02117866906599	0.05	2.83571166850392	2.57003955286451	10090	Mus musculus
