id	minimum_qValue	call	cutoff
FBgn0003140	0.000202896	present	0.05
FBgn0003141	0.000372189	present	0.05
FBgn0003145	0.001565512	present	0.05
FBgn0003149	9.59E-05	present	0.05
FBgn0003159	2.38E-05	present	0.05
FBgn0003162	0.004278474	present	0.05
FBgn0003165	0.006603112	present	0.05
FBgn0003169	0.002821789	present	0.05
FBgn0003174	0.008704009	present	0.05
FBgn0003175	0.002270282	present	0.05
FBgn0003187	6.13E-05	present	0.05
FBgn0003189	0.000298797	present	0.05
FBgn0003204	0.001479048	present	0.05
FBgn0003205	0.000335894	present	0.05
FBgn0003206	4.87E-05	present	0.05
FBgn0003209	0.00152187	present	0.05
FBgn0003210	0.000829563	present	0.05
FBgn0003218	5.12E-06	present	0.05
FBgn0003227	0.016694142	absent	0.05
FBgn0003231	1.77E-08	present	0.05
FBgn0003248	0.05197269	absent	0.05
FBgn0003249	0.01706929	absent	0.05
FBgn0003250	0.000669195	present	0.05
FBgn0003254	0.000789904	present	0.05
FBgn0003255	0.074061545	absent	0.05
FBgn0003256	0.00230425	present	0.05
FBgn0003257	0.002315133	present	0.05
FBgn0003261	4.49E-06	present	0.05
FBgn0003267	0.01018368	present	0.05
FBgn0003268	0.006188104	present	0.05
FBgn0003270	1	absent	0.05
FBgn0003274	1.77E-08	present	0.05
FBgn0003275	1.77E-08	present	0.05
FBgn0003277	0.002771425	present	0.05
FBgn0003278	0.007746044	present	0.05
FBgn0003279	1.77E-08	present	0.05
FBgn0003285	0.102353649	absent	0.05
FBgn0003292	0.069249271	absent	0.05
FBgn0003295	0.069352265	absent	0.05
FBgn0003300	0.123115061	absent	0.05
FBgn0003301	0.006322259	present	0.05
FBgn0003302	5.25E-06	present	0.05
FBgn0003308	0.012431171	present	0.05
FBgn0003310	2.52E-05	present	0.05
FBgn0003312	0.016764357	absent	0.05
FBgn0003313	0.039255033	absent	0.05
FBgn0003317	0.00047386	present	0.05
FBgn0003319	0.168723385	absent	0.05
FBgn0003321	4.69E-05	present	0.05
FBgn0003326	0.147603613	absent	0.05
FBgn0003330	0.000289765	present	0.05
FBgn0003334	0.001214096	present	0.05
FBgn0003339	1	absent	0.05
FBgn0003345	0.000464506	present	0.05
FBgn0003346	7.51E-07	present	0.05
FBgn0003353	0.006631395	present	0.05
FBgn0003356	1.77E-08	present	0.05
FBgn0003357	1.77E-08	present	0.05
FBgn0003358	1.77E-08	present	0.05
FBgn0003360	1.77E-08	present	0.05
FBgn0003366	0.004117733	present	0.05
FBgn0003371	0.000492206	present	0.05
FBgn0003372	0.050003497	absent	0.05
FBgn0003373	0.003588493	present	0.05
FBgn0003374	0.002163325	present	0.05
FBgn0003375	1	absent	0.05
FBgn0003377	0.017478483	absent	0.05
FBgn0003378	0.091117713	absent	0.05
FBgn0003380	0.068902659	absent	0.05
FBgn0003382	0.029187474	absent	0.05
FBgn0003386	0.006508539	present	0.05
FBgn0003388	0.004894478	present	0.05
FBgn0003390	0.000470435	present	0.05
FBgn0003391	0.001487909	present	0.05
FBgn0003392	0.000261974	present	0.05
FBgn0003396	0.00400058	present	0.05
FBgn0003401	0.003343297	present	0.05
FBgn0003410	1.77E-08	present	0.05
FBgn0003411	1	absent	0.05
FBgn0003415	0.003917274	present	0.05
FBgn0003416	0.020019798	absent	0.05
FBgn0003423	0.000444487	present	0.05
FBgn0003429	0.059930851	absent	0.05
FBgn0003430	0.054112556	absent	0.05
FBgn0003435	1.77E-08	present	0.05
FBgn0003444	0.009512746	present	0.05
FBgn0003447	0.000673329	present	0.05
FBgn0003448	1	absent	0.05
FBgn0003449	1.77E-08	present	0.05
FBgn0003450	0.019516757	absent	0.05
FBgn0003459	0.00316813	present	0.05
FBgn0003460	0.003729702	present	0.05
FBgn0003462	1.77E-08	present	0.05
FBgn0003463	0.007919283	present	0.05
FBgn0003464	0.002616763	present	0.05
FBgn0003475	1.77E-08	present	0.05
FBgn0003479	0.000264482	present	0.05
FBgn0003480	0.023575065	absent	0.05
FBgn0003482	0.044845078	absent	0.05
FBgn0003483	0.003399107	present	0.05
FBgn0003486	0.208677497	absent	0.05
FBgn0003495	0.007050891	present	0.05
FBgn0003499	0.232892627	absent	0.05
FBgn0003502	0.003520097	present	0.05
FBgn0003507	0.001018591	present	0.05
FBgn0003510	0.004634949	present	0.05
FBgn0003511	5.13E-05	present	0.05
FBgn0003512	1.55E-05	present	0.05
FBgn0003513	0.050480046	absent	0.05
FBgn0003514	1.77E-08	present	0.05
FBgn0003515	0.008198401	present	0.05
FBgn0003517	1.77E-08	present	0.05
FBgn0003520	0.003746252	present	0.05
FBgn0003525	0.021723651	absent	0.05
FBgn0003527	0.000246143	present	0.05
FBgn0003545	3.93E-06	present	0.05
FBgn0003557	0.000588999	present	0.05
FBgn0003559	0.003258278	present	0.05
FBgn0003567	0.000511542	present	0.05
FBgn0003575	0.001318431	present	0.05
FBgn0003598	0.000706988	present	0.05
FBgn0003607	1.77E-08	present	0.05
FBgn0003612	2.87E-05	present	0.05
FBgn0003638	3.36E-05	present	0.05
FBgn0003651	0.001795486	present	0.05
FBgn0003654	9.93E-06	present	0.05
FBgn0003655	0.022490103	absent	0.05
FBgn0003656	1.77E-08	present	0.05
FBgn0003660	1.77E-08	present	0.05
FBgn0003676	2.19E-05	present	0.05
FBgn0003683	1	absent	0.05
FBgn0003687	0.004309843	present	0.05
FBgn0003701	0.003815485	present	0.05
FBgn0003710	0.001063623	present	0.05
FBgn0003714	1.77E-08	present	0.05
FBgn0003716	0.003373206	present	0.05
FBgn0003719	0.175250656	absent	0.05
FBgn0003720	0.202813603	absent	0.05
FBgn0003721	1.77E-08	present	0.05
FBgn0003731	0.01427398	absent	0.05
FBgn0003733	0.057480779	absent	0.05
FBgn0003741	0.000762972	present	0.05
FBgn0003742	1.77E-08	present	0.05
FBgn0003744	3.78E-05	present	0.05
FBgn0003747	0.018164852	absent	0.05
FBgn0003748	5.22E-08	present	0.05
FBgn0003751	0.065446888	absent	0.05
FBgn0003861	0.012763384	absent	0.05
FBgn0003862	0.011432425	present	0.05
FBgn0003863	1.77E-08	present	0.05
FBgn0003865	1	absent	0.05
FBgn0003866	0.019581816	absent	0.05
FBgn0003867	0.013122501	absent	0.05
FBgn0003870	0.000569284	present	0.05
FBgn0003882	0.000660522	present	0.05
FBgn0003884	1.77E-08	present	0.05
FBgn0003885	1.77E-08	present	0.05
FBgn0003886	1.77E-08	present	0.05
FBgn0003888	1.77E-08	present	0.05
FBgn0003889	1.77E-08	present	0.05
FBgn0003890	0.000470304	present	0.05
FBgn0003891	0.001762379	present	0.05
FBgn0003892	0.014148822	absent	0.05
FBgn0003896	0.016838802	absent	0.05
FBgn0003900	0.000135831	present	0.05
FBgn0003916	0.005857319	present	0.05
FBgn0003920	0.002107371	present	0.05
FBgn0003922	1.77E-08	present	0.05
FBgn0003923	0.004129652	present	0.05
FBgn0003926	0.012653216	present	0.05
FBgn0003930	1	absent	0.05
FBgn0003931	1.77E-08	present	0.05
